FID;field_1;field_2;x;y
228;313932.436160209;4623988.9780742;313932;4623990
229;290035.636080151;4608366.50354593;290036;4608370
230;303178.782170052;4618310.17086228;303179;4618310
231;288998.595508055;4608698.2785784;288999;4608700
232;302370.404750611;4601513.54720154;302370;4601510
233;290724.469166944;4603101.46277227;290724;4603100
234;306040.487317664;4609493.35858595;306040;4609490
235;299234.456568478;4604599.84402707;299234;4604600
236;314642.800017677;4612109.50106034;314643;4612110
237;309719.622082788;4602235.97868125;309720;4602240
238;289753.260434129;4619650.00500076;289753;4619650
239;315247.667069181;4611047.7465554;315248;4611050
240;290857.912931899;4602217.55103742;290858;4602220
241;311250.706378331;4601545.28849711;311251;4601550
242;304215.371623784;4606779.20644335;304215;4606780
243;301386.48823592;4598161.08481191;301386;4598160
244;310878.63364418;4606248.56175961;310879;4606250
245;291074.322872978;4617967.06431159;291074;4617970
246;301952.451157743;4606268.55008757;301952;4606270
247;301845.747651991;4602898.06507877;301846;4602900
248;295788.436028048;4610220.82804563;295788;4610220
249;289341.658819366;4620093.3401948;289342;4620090
250;310966.059292212;4599052.95966585;310966;4599050
251;292536.106257736;4606192.80840999;292536;4606190
252;301815.286884449;4606050.07680606;301815;4606050
253;302272.237909535;4615215.14298133;302272;4615220
254;295981.811165454;4610653.00840693;295982;4610650
255;295443.360266;4614342.7828509;295443;4614340
256;284528.019595968;4593970.60797742;284528;4593970
257;308640.805870215;4610583.56852021;308641;4610580
258;310636.606327799;4611500.3857244;310637;4611500
259;301770.464085425;4615201.21656609;301770;4615200
260;298271.091295102;4588318.85771963;298271;4588320
261;289817.780402863;4619580.85238112;289818;4619580
262;311528.441748312;4618166.05864578;311528;4618170
263;315589.135603311;4611944.88250189;315589;4611940
264;311792.573218853;4611472.38173393;311793;4611470
265;309016.227009594;4615524.73596563;309016;4615520
266;287882.350793478;4623835.65125454;287882;4623840
267;308527.839883567;4617406.76725357;308528;4617410
268;304090.551141973;4612318.9592283;304091;4612320
269;299731.548743029;4621925.43531819;299732;4621930
270;286570.932347179;4588674.64723344;286571;4588670
271;309467.412310311;4611357.79312911;309467;4611360
272;304364.045385214;4612747.53354906;304364;4612750
273;310164.58203506;4599616.59681086;310165;4599620
274;309748.967482142;4599836.67782971;309749;4599840
275;302197.263742182;4601973.93617251;302197;4601970
276;303617.307767989;4620682.98237998;303617;4620680
277;309340.808504635;4600125.69139863;309341;4600130
278;286761.177235453;4601516.39377507;286761;4601520
279;296314.614733787;4601763.71563113;296315;4601760
280;305953.603285985;4601312.85669114;305954;4601310
281;312959.94138249;4599360.46429167;312960;4599360
282;318291.544885287;4601716.65212792;318292;4601720
283;304560.530472616;4613186.93677213;304561;4613190
284;309749.045024591;4606893.34768689;309749;4606890
285;285319.524633813;4594648.98432417;285320;4594650
286;308749.409087752;4617616.15849595;308749;4617620
287;289989.984410694;4602478.8369273;289990;4602480
288;309573.609835226;4606987.01873559;309574;4606990
289;310045.176047198;4623094.83499105;310045;4623100
290;310188.079071708;4620229.74340276;310188;4620230
291;304734.656331006;4624296.46780465;304735;4624300
292;306422.415473814;4612573.23693114;306422;4612570
293;301808.408931852;4603194.33877673;301808;4603190
294;301831.43830588;4602425.70349163;301831;4602430
