"from";"to";"distance";"intensity";"imd2015"
17;260;719,951387247778;0,00783401865245164;14070
260;265;1266,14138231084;0,005602561572132;14070
265;266;716,645658606818;0,000574609634138653;14070
266;267;748,505177002805;0,00267063145276979;14070
267;268;2078,24781967888;0,035154520171039;14070
268;269;2708,21066388861;0,0818188555719319;14070
138;270;84,8645980371085;6,27168698579335e-05;1726
58;271;1128,79581856065;0,00484546594698927;6891
4;271;1834,71251153961;0,0237981908839403;6891
4;272;1663,86567967489;0,0237505950136582;6891
272;273;1492,58500595443;0,0116882576575934;6891
52;273;2009,26678168928;0,0304946985064655;6891
52;274;1170,87702172346;0,0305565879859536;6891
40;277;20,2484567313166;0;3936
280;281;310,257957190464;0,00269378790757744;3936
283;284;422,965719651132;0,00848467444286707;3936
284;285;392,928746721336;0,00605745859272146;3936
40;286;353,691956368815;0,00234041752935764;3936
279;287;17;0;3936
38;287;77,1297607930946;0,000930568436793603;3936
279;289;52,1536192416212;0;3936
291;292;11,4017542509914;0;3936
290;292;88,3628881374981;0,00254892580594986;3936
288;290;408,765213784148;0,0032811517297343;3936
294;295;79,8811617341661;0,00168833838629835;3936
293;295;39,0128184062623;0;3936
291;296;223,671634321386;0,00418379782919934;3936
298;299;108,16653826392;0,00118434976439995;3936
297;299;13,4164078649987;0;3936
302;303;397,524841991038;0,00553191462492594;3936
294;304;14,3178210632764;0;3936
25;306;24,8394846967484;0;3936
26;307;15,52417469626;0;3936
298;307;16,4924225024706;0;3936
305;308;354,611054537221;0,00499499228433456;3936
309;310;407,686153799709;0,00471087197267739;3936
311;312;461,053142273209;0,00251122011904358;3936
312;313;787,444601226016;0,00121242777294366;3936
313;314;420,373643322224;0,000102046101341803;3936
315;318;47;0;3936
315;317;158,600126103355;5,88095490538852e-07;3936
57;88;2949,73524235651;0,0287792682586556;16108
95;319;1266,9277801043;0,0162643596768762;5773
236;319;2025,70604975154;0,020188569384486;5773
91;320;460,40417026782;0,00271252227521367;5773
29;91;43,1740662898458;0;5773
28;82;190,717067930482;0,0010964066733598;5773
39;321;1943,80065850385;0,0166688150758986;3936
321;322;693,98126775872;0,00262800630430773;3936
322;323;1433,59478235658;0,000628928658580301;3936
323;324;2402,95859306814;0,000969999898723992;3936
324;325;2065,30385173708;0,021113492570717;3936
196;325;749,00267022221;0,0100236475910727;3936
196;326;458,187734449538;0,0039279368168611;3936
51;327;454,740585389077;0,0100533145160475;1726
327;328;603,314180174807;0,00504730595535721;1726
30;329;220,843836228227;0,00100599548395058;1726
31;330;158,795465930234;0,00103758320671133;1726
32;333;249,689807561302;6,22084554222581e-05;1726
335;336;1578,03453701115;5,05617456146274e-11;94
336;337;973,203473072307;1,98844263053469e-17;94
337;338;811,608895959131;3,15276817853117e-22;94
338;339;638,811396266535;2,87198675682112e-27;94
339;340;1602,85900814763;1,05391812029657e-30;94
342;343;4880,16475131732;0,0327855390681904;1482
343;344;424,004716954894;0,00233220800817975;1482
344;345;2144,06156628022;0,00801167342778218;1482
345;346;535,392379475091;0,000265048121852682;1482
346;347;745,201315082039;2,91755315796741e-05;1482
347;348;501,391064938337;1,16998083176128e-06;1482
349;350;391,471582621268;1,02307066749564e-06;890
350;351;509,501717367076;6,9939113091949e-06;890
11;357;24,6981780704569;0;890
208;358;61,1882341631134;0;890
360;361;77,4725757929863;0,000363276647949098;615
359;361;13,4536240470737;0;615
137;363;230,800779894696;0,000296007050043061;615
147;367;117,085438889727;0;615
34;368;333,701962835102;0,00168650777649862;615
373;374;606,690201008719;0,00231545462877117;615
374;375;614,293903599897;0,00249621110799498;615
375;376;1084,53307925577;0,00171201430412941;615
381;382;1337,29316157677;1,55929949265422e-13;615
382;383;585,670555858838;3,55573894577464e-19;615
385;386;440,072721263202;4,28635878891702e-31;615
128;388;2316,91605372314;0,0454191417242318;8277
388;389;3416,60255224397;0,0343559527074797;8277
334;389;14,3178210632764;0;8277
390;391;1556,86383476526;0,0126447101036698;8277
234;391;1682,53528937731;0,0725222563624552;8277
24;54;298,497906190311;0,0037966527321017;16108
214;217;906,452977269091;0,00764133519255736;12411
254;392;2324,07099719436;0,0399189648682327;20061
392;393;1538,89635778372;0,00850413057439566;20061
393;394;1235,89360383489;0,0151403006413498;20061
394;395;2127,39582588666;0,0244436706245684;20061
239;396;36,0555127546399;0;1456
29;397;1191,10746786342;0,00734894719877158;1360
397;398;3638,3383569976;0,00973962756958693;1360
128;252;637,314678945966;0,0129786980394824;5767
62;399;124,619420637395;0,000465509461618246;9722
115;400;1271,6072506871;0,0147165626774504;5767
141;401;2825,4688106578;0,0640043413557551;8312
175;402;223,653750248012;0,00127703670956593;194
209;403;2330,45317481386;0,0208648386435217;5162
221;404;1687,62318068934;0,00262539083841254;33228
65;405;573,467523056014;0,000826760772785689;2206
237;406;2152,25672260537;0,0174081833666446;8277
261;407;729,08298567447;1,44667093420362e-48;77
387;408;486,004115208915;1,56102002107525e-36;615
398;409;416,227101472261;0,00147392785877093;1360
19;213;2450,56340460719;0,0469856117640805;12411
12;21;2622,31538911703;0,0104633247259088;282
356;357;331,965359638623;0,0025101768970186;890
340;341;1172,06015203999;5,67654740315354e-42;94
46;214;2713,77007132144;0,0236602611380892;12411
355;356;356,899145417862;0,00260393615383324;890
38;288;65,9696900098826;0,000959605964240908;3936
